,Date,User,Tweet
0,2022-11-25 19:55:18+00:00,natou13,@EricSALATprof @Pyramideprince @132_dc Entièrement d accord @EricSALATprof #vaccination #grippe #soignants
1,2022-11-23 10:57:03+00:00,Lizmauricephd,"When will a statue of Dr Fauci be erected in Washington DC? The man saved us - we would all have died from Covid if not for him. 

#COVID19"
2,2022-11-22 01:35:30+00:00,chidambara09,"@enilev @KingsCollegeLon @IanLJones98 @GlenGilmore @SpirosMargaris @BetaMoroney @drsharwood @Nicochan33 @HaroldSinnott @mvollmer1 @psb_dc @Khulood_Almani @tobiaskintzel @Fabriziobustama @enricomolinari @RLDI_Lamy @jeancayeux @mdrechsler @mikeflache @MikeNashTech @SwissCognitive Phase 3 Clinical Trial: #BrainCancer #Vaccine 
Shows Promising Results 
@KingsCollegeLon

ThAnk  U 
mymom🪔 

#bigdata 
#Twitter 
#SOciaLmediA 
🍁"
3,2022-11-06 02:01:59+00:00,Ninad_M,Excited to be at #AMIA2022. Ping me on the discussion on #CDS #ECR #HIV #COVID19 #AI #precisionmedicine or just good restaurants in DC.
4,2022-10-28 10:16:25+00:00,UKPoTS,"@Lichfield_DC Thank you so much for supporting us! 💜
Symptoms can include lightheadedness,palpitations,severe fatigue. Many people are being diagnosed after #Covid19"
5,2022-10-27 18:34:36+00:00,GawandeUSAID,Excited to welcome our @DFAT &amp; @CentreHealthSec colleagues to DC yesterday. We worked on how we can advance our work together to achieve shared #globalhealthsecurity priorities that build upon our #COVID19 response partnerships in the Indo-Pacific region.
6,2022-10-26 03:31:58+00:00,PureAstro2,"@DC_aryavarta Most #EPIC series of tweets I've ever read.

No one, and no one, had any idea of a huge disruption

Only one man @DC_aryavarta sir could sence a never heard disruption (now called #corona #COVID19)

Since then I read EACH AND EVERY WORD 2-3 TIMES from any of his tweets

#Rudra🙏"
7,2022-10-23 09:54:02+00:00,primobelix,"@DrManaouda @albertleanne
Dc. @DrManaouda, sur quelle base scientifique vous préconisez la #vaccination #COVID19 au #Cameroun ? Très peu de #Camerounais sont vaccinés et respectent les gestes barrières et pourtant pas plus de conséquences sur la population !"
8,2022-10-14 01:05:17+00:00,scottjay,"@w_terrence Terrence, Trump exposed the whole cabal.
Not just @HillaryClinton and co.,
Think how much $ is shipped out of DC.
Foreign policy is easier to skim than those dollars sent to states. How many #Hunter s are there? Both sides?
How many #Fauci s? He 4-5x'd his $ since #Covid19"
9,2022-10-07 13:37:40+00:00,DrLuisPizarro,"In Washington DC, I was honored to meet Dr Anthony Fauci @NIAIDNews &amp; his team to review our portfolio &amp; report on our work as part of @asap_discovery, a NIAID-supported #OpenScience consortium to discover novel antivirals for #COVID19 &amp; other pathogens of pandemic potential. 4/"
10,2022-10-02 05:05:26+00:00,chidambara09,"@enilev @AgencyFAPESP @IanLJones98 @mvollmer1 @Nicochan33 @andi_staub @SpirosMargaris @psb_dc @TylerCohenWood @PawlowskiMario Study Reveals 
#Main #Target of 
#COVID19 in #Brain &amp; Describes Effects of ViRUS on #NervousSystem 
@AgencyFAPESP 
#SCiENCE #MEdiCAL

ThAnk  U 
mymom🪔

#bigdata 
#Twitter 
#SOciaLmediA 
🍁"
